Iteration, Cost, Drag, Lift, Volume, Fx, Fy, Fz
1,0.116201,0.116201,-0.000920036,0.0313169,0.116201,-0.000920036,4.94485e-21
2,0.108272,0.108272,-0.00056507,0.0313169,0.108272,-0.00056507,1.81427e-20
3,0.101027,0.101027,-0.000443342,0.0313169,0.101027,-0.000443342,-1.00996e-19
4,0.0946628,0.0946628,-0.000368113,0.0313169,0.0946628,-0.000368113,-3.84418e-20
5,0.0893048,0.0893048,-0.000306247,0.0313169,0.0893048,-0.000306247,-4.38744e-20
6,0.084987,0.084987,-0.000251077,0.0313169,0.084987,-0.000251077,1.05533e-19
7,0.0815844,0.0815844,-0.000200659,0.0313169,0.0815844,-0.000200659,5.32063e-20
8,0.0789039,0.0789039,-0.000155227,0.0313169,0.0789039,-0.000155227,-5.61722e-20
9,0.0767542,0.0767542,-0.000117878,0.0313169,0.0767542,-0.000117878,-1.63685e-20
10,0.0749871,0.0749871,-9.28566e-05,0.0313169,0.0749871,-9.28566e-05,-9.6222e-21
11,0.0734939,0.0734939,-8.09499e-05,0.0313169,0.0734939,-8.09499e-05,4.97163e-20
12,0.0722004,0.0722004,-8.3108e-05,0.0313169,0.0722004,-8.3108e-05,2.12393e-20
13,0.0710506,0.0710506,-9.78224e-05,0.0313169,0.0710506,-9.78224e-05,-2.25459e-20
14,0.0700034,0.0700034,-0.00012203,0.0313169,0.0700034,-0.00012203,1.27139e-20
15,0.069029,0.069029,-0.000152083,0.0313169,0.069029,-0.000152083,2.09401e-20
16,0.0681081,0.0681081,-0.000183116,0.0313169,0.0681081,-0.000183116,7.10709e-20
17,0.0672293,0.0672293,-0.00021043,0.0313169,0.0672293,-0.00021043,-9.77015e-21
18,0.0663862,0.0663862,-0.000231223,0.0313169,0.0663862,-0.000231223,7.60708e-20
19,0.0655759,0.0655759,-0.000244875,0.0313169,0.0655759,-0.000244875,-1.23431e-21
20,0.0648024,0.0648024,-0.000246202,0.0313169,0.0648024,-0.000246202,8.73583e-21
21,0.0640764,0.0640764,-0.000235483,0.0313169,0.0640764,-0.000235483,4.00746e-21
22,0.0634041,0.0634041,-0.000214052,0.0313169,0.0634041,-0.000214052,3.53998e-20
23,0.0627875,0.0627875,-0.000181629,0.0313169,0.0627875,-0.000181629,2.8173e-20
24,0.0622265,0.0622265,-0.000140577,0.0313169,0.0622265,-0.000140577,4.06327e-20
25,0.0617177,0.0617177,-9.40495e-05,0.0313169,0.0617177,-9.40495e-05,1.47138e-20
26,0.0612553,0.0612553,-4.68905e-05,0.0313169,0.0612553,-4.68905e-05,-5.88946e-20
27,0.0608323,0.0608323,-2.42411e-06,0.0313169,0.0608323,-2.42411e-06,-2.88859e-20
28,0.0604417,0.0604417,4.04415e-05,0.0313169,0.0604417,4.04415e-05,1.86824e-20
29,0.0600786,0.0600786,8.35637e-05,0.0313169,0.0600786,8.35637e-05,5.96775e-20
30,0.0597404,0.0597404,0.00012765,0.0313169,0.0597404,0.00012765,-2.03632e-20
31,0.0594251,0.0594251,0.000172838,0.0313169,0.0594251,0.000172838,-1.33365e-20
