Iteration, Cost, Drag, Lift, Volume, Fx, Fy, Fz
57,2.1498e-06,2.1498e-06,4.0137e-10,0.0313177,2.1498e-06,4.0137e-10,-3.35638e-25
58,2.12443e-06,2.12443e-06,3.90405e-10,0.0313177,2.12443e-06,3.90405e-10,-6.32906e-26
59,2.09971e-06,2.09971e-06,3.79859e-10,0.0313177,2.09971e-06,3.79859e-10,8.10719e-25
60,2.07562e-06,2.07562e-06,3.69708e-10,0.0313177,2.07562e-06,3.69708e-10,-1.13856e-24
61,2.05212e-06,2.05212e-06,3.59922e-10,0.0313177,2.05212e-06,3.59922e-10,-3.14209e-25
62,2.0292e-06,2.0292e-06,3.50418e-10,0.0313177,2.0292e-06,3.50418e-10,-1.18435e-24
63,2.00682e-06,2.00682e-06,3.41279e-10,0.0313177,2.00682e-06,3.41279e-10,2.19756e-25
64,1.98499e-06,1.98499e-06,3.32456e-10,0.0313177,1.98499e-06,3.32456e-10,-1.48631e-24
65,1.96366e-06,1.96366e-06,3.23934e-10,0.0313177,1.96366e-06,3.23934e-10,-5.79011e-25
66,1.94283e-06,1.94283e-06,3.15642e-10,0.0313177,1.94283e-06,3.15642e-10,-6.31351e-25
67,1.92247e-06,1.92247e-06,3.07715e-10,0.0313177,1.92247e-06,3.07715e-10,-1.15678e-25
68,1.90257e-06,1.90257e-06,2.99962e-10,0.0313177,1.90257e-06,2.99962e-10,-3.41216e-25
69,1.88312e-06,1.88312e-06,2.92546e-10,0.0313177,1.88312e-06,2.92546e-10,2.97812e-25
70,1.86409e-06,1.86409e-06,2.85359e-10,0.0313177,1.86409e-06,2.85359e-10,9.93251e-25
71,1.84548e-06,1.84548e-06,2.7834e-10,0.0313177,1.84548e-06,2.7834e-10,9.33165e-26
72,1.82727e-06,1.82727e-06,2.71544e-10,0.0313177,1.82727e-06,2.71544e-10,-4.52635e-25
73,1.80944e-06,1.80944e-06,2.64997e-10,0.0313177,1.80944e-06,2.64997e-10,-9.74332e-25
74,1.79199e-06,1.79199e-06,2.58665e-10,0.0313177,1.79199e-06,2.58665e-10,-8.41695e-26
75,1.7749e-06,1.7749e-06,2.5247e-10,0.0313177,1.7749e-06,2.5247e-10,2.74537e-25
76,1.75815e-06,1.75815e-06,2.46394e-10,0.0313177,1.75815e-06,2.46394e-10,2.30544e-25
77,1.74175e-06,1.74175e-06,2.40671e-10,0.0313177,1.74175e-06,2.40671e-10,1.86081e-25
78,1.72568e-06,1.72568e-06,2.35006e-10,0.0313177,1.72568e-06,2.35006e-10,7.02092e-25
79,1.70992e-06,1.70992e-06,2.29576e-10,0.0313177,1.70992e-06,2.29576e-10,-3.18863e-25
80,1.69447e-06,1.69447e-06,2.24222e-10,0.0313177,1.69447e-06,2.24222e-10,-4.05e-25
81,1.67932e-06,1.67932e-06,2.19107e-10,0.0313177,1.67932e-06,2.19107e-10,5.74127e-26
82,1.66446e-06,1.66446e-06,2.14062e-10,0.0313177,1.66446e-06,2.14062e-10,-1.14488e-25
83,1.64989e-06,1.64989e-06,2.09234e-10,0.0313177,1.64989e-06,2.09234e-10,-2.02422e-25
84,1.63558e-06,1.63558e-06,2.04504e-10,0.0313177,1.63558e-06,2.04504e-10,-5.55631e-25
85,1.62155e-06,1.62155e-06,1.99911e-10,0.0313177,1.62155e-06,1.99911e-10,-7.09586e-25
86,1.60777e-06,1.60777e-06,1.95443e-10,0.0313177,1.60777e-06,1.95443e-10,2.58995e-25
87,1.59424e-06,1.59424e-06,1.91099e-10,0.0313177,1.59424e-06,1.91099e-10,2.35195e-25
88,1.58095e-06,1.58095e-06,1.8687e-10,0.0313177,1.58095e-06,1.8687e-10,-7.17083e-25
89,1.56791e-06,1.56791e-06,1.82755e-10,0.0313177,1.56791e-06,1.82755e-10,-4.15442e-25
90,1.55509e-06,1.55509e-06,1.78743e-10,0.0313177,1.55509e-06,1.78743e-10,-1.20722e-25
91,1.54249e-06,1.54249e-06,1.74846e-10,0.0313177,1.54249e-06,1.74846e-10,-6.34525e-25
