Iteration, Cost, Drag, Lift, Volume, Fx, Fy, Fz
1,0.00104474,0.00104474,-1.39778e-06,0.0313177,0.00104474,-1.39778e-06,2.11868e-22
2,0.00100082,0.00100082,8.3832e-07,0.0313177,0.00100082,8.3832e-07,3.60916e-22
3,0.000934642,0.000934642,8.64819e-07,0.0313177,0.000934642,8.64819e-07,1.15658e-22
4,0.000864793,0.000864793,7.03752e-07,0.0313177,0.000864793,7.03752e-07,-8.60133e-23
5,0.000799597,0.000799597,5.86958e-07,0.0313177,0.000799597,5.86958e-07,-5.21486e-22
6,0.000742555,0.000742555,5.0881e-07,0.0313177,0.000742555,5.0881e-07,-4.29932e-22
7,0.000694022,0.000694022,4.50774e-07,0.0313177,0.000694022,4.50774e-07,-1.49324e-22
8,0.000652874,0.000652874,4.04923e-07,0.0313177,0.000652874,4.04923e-07,4.87896e-22
9,0.000617672,0.000617672,3.66705e-07,0.0313177,0.000617672,3.66705e-07,-2.3139e-22
10,0.00058717,0.00058717,3.34207e-07,0.0313177,0.00058717,3.34207e-07,-1.6713e-22
11,0.000560408,0.000560408,3.06568e-07,0.0313177,0.000560408,3.06568e-07,1.09792e-23
12,0.000536665,0.000536665,2.82312e-07,0.0313177,0.000536665,2.82312e-07,-2.69615e-22
13,0.000515398,0.000515398,2.60972e-07,0.0313177,0.000515398,2.60972e-07,1.19338e-22
14,0.000496193,0.000496193,2.4203e-07,0.0313177,0.000496193,2.4203e-07,-2.44783e-23
15,0.000478727,0.000478727,2.25201e-07,0.0313177,0.000478727,2.25201e-07,-9.48665e-24
16,0.000462748,0.000462748,2.10161e-07,0.0313177,0.000462748,2.10161e-07,-1.93612e-22
17,0.000448051,0.000448051,1.96672e-07,0.0313177,0.000448051,1.96672e-07,9.10738e-23
18,0.00043447,0.00043447,1.84484e-07,0.0313177,0.00043447,1.84484e-07,2.80115e-23
19,0.000421868,0.000421868,1.73483e-07,0.0313177,0.000421868,1.73483e-07,1.2836e-22
20,0.000410131,0.000410131,1.63481e-07,0.0313177,0.000410131,1.63481e-07,1.33149e-23
21,0.000399163,0.000399163,1.54371e-07,0.0313177,0.000399163,1.54371e-07,-5.32097e-23
22,0.000388884,0.000388884,1.46027e-07,0.0313177,0.000388884,1.46027e-07,9.61521e-24
23,0.000379223,0.000379223,1.38379e-07,0.0313177,0.000379223,1.38379e-07,7.96119e-23
24,0.000370121,0.000370121,1.31336e-07,0.0313177,0.000370121,1.31336e-07,-1.50837e-22
25,0.000361525,0.000361525,1.2484e-07,0.0313177,0.000361525,1.2484e-07,2.04777e-22
26,0.000353391,0.000353391,1.18822e-07,0.0313177,0.000353391,1.18822e-07,9.69142e-23
27,0.000345678,0.000345678,1.13257e-07,0.0313177,0.000345678,1.13257e-07,-2.81746e-23
28,0.000338351,0.000338351,1.0807e-07,0.0313177,0.000338351,1.0807e-07,-2.8206e-23
29,0.000331379,0.000331379,1.03235e-07,0.0313177,0.000331379,1.03235e-07,9.37205e-23
30,0.000324735,0.000324735,9.87178e-08,0.0313177,0.000324735,9.87178e-08,-9.35291e-24
31,0.000318394,0.000318394,9.45054e-08,0.0313177,0.000318394,9.45054e-08,1.66119e-22
32,0.000312333,0.000312333,9.05435e-08,0.0313177,0.000312333,9.05435e-08,-6.61692e-23
33,0.000306533,0.000306533,8.68309e-08,0.0313177,0.000306533,8.68309e-08,1.15255e-22
34,0.000300976,0.000300976,8.33257e-08,0.0313177,0.000300976,8.33257e-08,2.10413e-23
35,0.000295646,0.000295646,8.00328e-08,0.0313177,0.000295646,8.00328e-08,6.02196e-23
36,0.000290527,0.000290527,7.69143e-08,0.0313177,0.000290527,7.69143e-08,-8.93203e-23
37,0.000285607,0.000285607,7.39695e-08,0.0313177,0.000285607,7.39695e-08,-1.1024e-22
38,0.000280873,0.000280873,7.11757e-08,0.0313177,0.000280873,7.11757e-08,-1.3931e-23
39,0.000276314,0.000276314,6.8531e-08,0.0313177,0.000276314,6.8531e-08,-1.628e-23
